Timestamps,Temperature_Bench1,Carbon Dioxide concentration_Bench1,Temperature_Ceiling1,is_anomaly,neg_log_anomaly_score
1543035449639,16.63,377.0,16.06,0.0,-10.84427586670171
1543035450639,16.63,377.0,16.06,0.0,-10.835371093099187
1543035451653,16.63,377.0,16.06,0.0,-10.816935313639068
1543035453241,16.63,377.0,16.06,0.0,-10.835475445818693
1543035453241,16.63,377.0,16.06,0.0,-8.149798169116918
1543035454318,16.62,377.0,16.06,0.0,-10.832689361277383
1543035455713,16.62,377.0,16.06,0.0,-10.814620428322504
1543035455713,16.62,377.0,16.06,0.0,-10.83529605258096
1543035455713,16.62,377.0,16.06,0.0,-10.816743218125003
1543035455713,16.62,377.0,16.06,0.0,-9.633214007606277
1543035457319,16.62,377.0,16.05,0.0,-10.829080727894608
1543035457319,16.62,377.0,16.05,0.0,-8.055089041547989
1543035458248,16.61,377.0,16.05,0.0,-10.815729244838847
1543035459251,16.61,377.0,16.05,0.0,-9.372146655178536
1543035460440,16.61,377.0,16.04,0.0,-10.80554747673841
1543035461844,16.61,377.0,16.04,0.0,-10.847379757173835
1543035461844,16.61,377.0,16.04,0.0,-10.807270502590839
1543035461844,16.61,377.0,16.04,0.0,-10.804261407378704
1543035461844,16.61,377.0,16.04,0.0,-8.092716078852792
1543035462865,16.6,377.0,16.04,0.0,-8.467798050808144
1543035464318,16.6,376.0,16.04,0.0,-10.817732099287392
1543035464318,16.6,376.0,16.04,0.0,-10.823195497597428
1543035465319,16.6,376.0,16.04,0.0,-7.7566963578502515
1543035466525,16.59,376.0,16.04,0.0,-10.811424503166863
1543035467317,16.59,376.0,16.04,0.0,-10.815540562863383
1543035468325,16.59,376.0,16.04,0.0,-10.808822495704126
1543035469318,16.59,376.0,16.04,0.0,-10.823212355442893
1543035470316,16.59,376.0,16.04,0.0,-8.048522387629392
1543035471440,16.58,376.0,16.04,0.0,-10.822507003836964
1543035472657,16.58,376.0,16.04,0.0,-10.840087026624262
