podkin_drova,timestamps,temp
True,1543021212809,110.45
True,1543021213803,110.46
True,1543021214823,110.46
True,1543021216004,110.46
True,1543021216888,110.41
True,1543021217888,110.45
True,1543021218902,110.44
True,1543021219945,110.46
True,1543021220944,110.43
True,1543021222143,110.45
True,1543021223013,110.42
True,1543021224033,110.41
True,1543021225053,110.41
True,1543021226089,110.4
True,1543021227105,110.42
True,1543021228306,110.37
True,1543021229144,110.39
True,1543021230144,110.38
True,1543021231193,110.39
True,1543021232203,110.36
True,1543021233221,110.36
True,1543021233803,110.35
True,1543021234804,110.38
True,1543021235802,110.35
True,1543021236944,110.41
True,1543021238311,110.38
True,1543021238912,110.38
True,1543021239823,110.33
True,1543021240802,110.33
True,1543021241802,110.35
True,1543021243003,110.3
True,1543021243806,110.35
True,1543021244802,110.32
True,1543021245803,110.38
True,1543021246804,110.36
True,1543021247944,110.36
True,1543021249144,110.34
True,1543021249911,110.32
True,1543021250803,110.32
True,1543021251808,110.34
True,1543021252805,110.31
True,1543021254003,110.33
True,1543021254804,110.36
True,1543021255811,110.35
True,1543021256804,110.35
True,1543021257805,110.32
True,1543021258909,110.34
True,1543021260113,110.33
True,1543021260910,110.31
True,1543021261832,110.31
True,1543021262853,110.34
True,1543021263888,110.32
True,1543021265005,110.33
True,1543021265913,110.33
True,1543021266944,110.35
True,1543021267953,110.37
True,1543021269002,110.36
True,1543021270022,110.35
True,1543021271107,110.33
True,1543021272306,110.35
True,1543021273107,110.32
True,1543021274103,110.34
True,1543021275144,110.34
True,1543021276145,110.3
True,1543021277205,110.34
True,1543021278405,110.33
True,1543021279224,110.33
True,1543021280242,110.34
True,1543021281253,110.32
True,1543021282306,110.35
True,1543021283307,110.31
True,1543021283907,110.34
True,1543021284907,110.35
True,1543021285839,110.35
True,1543021287005,110.32
True,1543021288404,110.32
True,1543021289423,110.31
True,1543021290003,110.31
True,1543021290944,110.36
True,1543021291907,110.33
True,1543021293108,110.32
True,1543021293909,110.33
True,1543021294906,110.37
True,1543021295906,110.37
True,1543021296906,110.33
True,1543021298005,110.35
True,1543021299205,110.35
True,1543021300003,110.35
True,1543021300906,110.31
True,1543021301913,110.32
True,1543021302907,110.34
True,1543021304107,110.32
True,1543021304906,110.33
True,1543021305906,110.33
True,1543021306907,110.31
True,1543021307906,110.33
True,1543021309008,110.33
True,1543021310204,110.33
True,1543021311003,110.38
True,1543021311904,110.33
True,1543021312945,110.34
True,1543021313945,110.32
True,1543021315106,110.34
True,1543021316003,110.38
True,1543021317023,110.35
True,1543021318043,110.36
True,1543021319090,110.31
True,1543021320090,110.35
True,1543021321209,110.35
True,1543021322145,110.29
True,1543021323145,110.35
True,1543021324163,110.31
True,1543021325204,110.32
True,1543021326224,110.34
True,1543021327306,110.31
True,1543021328290,110.34
True,1543021329290,110.36
True,1543021330304,110.33
True,1543021331345,110.33
True,1543021332346,110.34
True,1543021333401,110.35
True,1543021334414,110.31
False,1543021335105,110.31
False,1543021335906,110.32
False,1543021337114,110.34
False,1543021337906,110.32
False,1543021338913,110.31
False,1543021339906,110.32
False,1543021340904,110.33
False,1543021342003,110.32
False,1543021343204,110.34
False,1543021344003,110.33
False,1543021344910,110.37
False,1543021345945,110.36
False,1543021346915,110.37
False,1543021348106,110.38
False,1543021348946,110.34
False,1543021349946,110.36
False,1543021350946,110.33
False,1543021351945,110.36
False,1543021353003,110.32
False,1543021354204,110.34
False,1543021355005,110.31
False,1543021355946,110.33
False,1543021356947,110.35
False,1543021357946,110.33
False,1543021359106,110.34
False,1543021360306,110.33
False,1543021361107,110.33
False,1543021362003,110.34
False,1543021363015,110.31
False,1543021364035,110.29
False,1543021365203,110.31
False,1543021366091,110.32
False,1543021367095,110.31
False,1543021368116,110.3
False,1543021369147,110.3
False,1543021370156,110.3
False,1543021371315,110.31
False,1543021372226,110.28
False,1543021373246,110.28
False,1543021374292,110.28
False,1543021375292,110.28
False,1543021376295,110.3
False,1543021377402,110.29
False,1543021378348,110.29
False,1543021379356,110.24
False,1543021380405,110.29
False,1543021381426,110.24
False,1543021382446,110.27
False,1543021383507,110.26
False,1543021384492,110.23
False,1543021385507,110.24
False,1543021386548,110.26
False,1543021387202,110.26
False,1543021388002,110.28
False,1543021389002,110.27
False,1543021390004,110.28
False,1543021391002,110.26
False,1543021392106,110.27
False,1543021393306,110.29
False,1543021394107,110.24
False,1543021395002,110.22
False,1543021396004,110.24
False,1543021397004,110.22
False,1543021398204,110.19
False,1543021399006,110.25
False,1543021400004,110.23
False,1543021401004,110.26
False,1543021402004,110.25
False,1543021403106,110.22
False,1543021404306,110.19
False,1543021405103,110.26
False,1543021406010,110.23
False,1543021407008,110.22
False,1543021408010,110.21
False,1543021409203,110.21
False,1543021410046,110.2
False,1543021411092,110.24
False,1543021412092,110.22
False,1543021413106,110.23
False,1543021414147,110.21
False,1543021415304,110.19
False,1543021416197,110.22
False,1543021417217,110.25
False,1543021418237,110.21
False,1543021419256,110.21
False,1543021420292,110.22
False,1543021421402,110.16
False,1543021422316,110.19
False,1543021423348,110.17
False,1543021424106,110.16
False,1543021425104,110.19
False,1543021426447,110.2
False,1543021427509,110.21
False,1543021428493,110.23
False,1543021429506,110.24
False,1543021430214,110.24
False,1543021431552,110.24
False,1543021432613,110.28
False,1543021433304,110.28
False,1543021434033,110.26
False,1543021435039,110.25
False,1543021436200,110.29
False,1543021437400,110.28
False,1543021438202,110.26
False,1543021439105,110.25
False,1543021440105,110.27
False,1543021441107,110.25
False,1543021442303,110.28
False,1543021443103,110.28
False,1543021444103,110.3
False,1543021445113,110.33
False,1543021446110,110.32
False,1543021447200,110.32
False,1543021448402,110.32
False,1543021449202,110.31
False,1543021450105,110.31
False,1543021451104,110.31
False,1543021452113,110.33
False,1543021453304,110.29
False,1543021454104,110.31
False,1543021455104,110.28
False,1543021456116,110.3
False,1543021457149,110.27
False,1543021458202,110.27
False,1543021459402,110.27
False,1543021460217,110.25
False,1543021461236,110.23
False,1543021462247,110.27
False,1543021463293,110.27
False,1543021464304,110.29
False,1543021465308,110.23
False,1543021466349,110.26
False,1543021467349,110.25
